Timestamp	Title	Key text or quote	Original link URL
6/10/2023 12:37:37	No more tick boxes…	I have lost count of the number of times I have had BME staff describe to me how they have watched White colleagues – whom they had welcomed, inducted, supported and helped to train – get promoted over them again and again. I have lost count of the number of time I’ve been told how “stretch opportunities” (such as acting up, secondments, and involvement in significant projects) which are the key to career progression have been filled by a tap on the shoulder followed by promotion. 	https://mdxminds.com/2021/09/16/no-more-tick-boxes/
6/10/2023 12:41:11	Discrimination must be eliminated from the public service	APS4 to APS5 and APS5 to APS6 , Anglo applicants were 10% more likely to be promoted  APS6 to EL1, Anglo applicants were 25% more likely to win promotion  From EL1 to EL2, Anglo applicants were around 50% percent more likely to get promoted  From EL2 to SES, Anglo applicants were about 60% percent more likely to get promoted   Whilst the probability of promotion increases for Anglo applicants.  The probability of promotions decreases with grades for Non-Anglo applicants.	https://www.linkedin.com/posts/suet-koon-lai_careerhackwithkoon-soundwave-activity-7064722361555582977-2lYT
6/10/2023 12:42:49	The opportunity cycle seen through the lens of race and ethnicity	A set of pictures highlights the ‘opportunity cycle’ of two employees. A White colleague, due to their strong rapport with similar team mates, is given opportunities, gains exposure, excels and is more likely to be promoted. A minority ethnic colleague is given less high profile work, develops less and is overlooked for promotion.	https://www.bankofengland.co.uk/report/2021/court-review-of-ethnic-diversity-and-inclusion
6/10/2023 12:51:03	50 great reads from First Nations writers and Australian writers of colour in 2021	To acknowledge the work of culturally diverse Australian writers, we have compiled this second list of 50 great reads by First Nations writers and Australian writers of colour published in 2021! 	https://www.readings.com.au/news/50-great-reads-from-first-nations-writers-and-australian-writers-of-colour-in-2021?fbclid=IwAR2dAaRD0UG_c2G0A1vbavmPeRwmGy1SbmcsxqgL8eKc2mTlCAxsXrGAcSg
6/10/2023 13:04:22		Imagine living in a building and there are police stationed on Every. Single. Floor. And you are forced to stay inside your home, and you are forced to be tested....but the rich and largely white populations all around you get to go on mostly as normal. I feel sick to my stomach.	https://twitter.com/FlyinGenie1/status/1279316686005387265
6/10/2023 13:05:13		I stand with #33AlfredStreet. Cops and corrections officers have no place in public housing and health issues. #FreeThe9Blocks	https://twitter.com/Asher_Wolf/status/1281220579882868738
6/10/2023 14:21:00	BFI Admits To Systemic Racism & Vows To Improve After Apologizing To ‘Four Lions’ Producer For Mishandling Discrimination Complaint	British Film Institute, one of the UK’s most powerful movie funding bodies, admitted to a filmmaker of color last year that it is “systemically racist” after apologizing for how it handled his long-running complaint over alleged discrimination.	https://deadline.com/2023/03/bfi-systemic-racism-leaving-neverland-faisal-a-qureshi-complaint-1235306755/
6/10/2023 14:21:40	Police Scotland chief says force is institutionally racist	Sir Iain's statement is believed to be the first of its kind by a police chief and comes amid ongoing controversy about policing culture in the UK.	https://www.bbc.com/news/uk-scotland-65706748
6/10/2023 14:22:18	UK failing to address systemic racism against black people, warn UN experts	“We have serious concerns about impunity and the failure to address racial disparities in the criminal justice system, deaths in police custody, ‘joint enterprise’ convictions and the dehumanising nature of the stop and (strip) search,” the working group said in a statement.	https://www.theguardian.com/world/2023/jan/27/uk-government-failing-to-address-systemic-racism-against-black-people-un-working-group-of-experts-on-people-of-african-descent
6/10/2023 14:22:52	Family of Awaab Ishak killed by mould in Rochdale flat say racism played part in his death	Joanne Kearsley, the coroner, found that he "died as a result of a severe respiratory condition caused due to prolonged exposure to mould in his home environment" and "action to treat and prevent the mould was not taken".	https://news.sky.com/story/two-year-old-boy-died-as-a-result-of-mould-infested-flat-unfit-for-human-habitation-12747927
6/10/2023 14:23:20	BAME people hold just 4.6% of the UK's most powerful roles, data shows	Just 51 of the top 1,097 workplace roles in the UK are held by black, Asian and minority ethnic (BAME) people, data shared exclusively with Sky News shows.  That amounts to just 4.6%, despite the fact that BAME groups make up 14% of the population.	https://news.sky.com/story/bame-people-hold-just-4-6-of-the-uks-most-powerful-roles-data-shows-12033268
6/10/2023 14:23:42	Only 11 top roles across FTSE 100 held by ethnic minority leaders, research finds	Report also reveals it will take more than 200 years for the leadership of the UK’s largest firms to match the diversity of the working population	https://www.peoplemanagement.co.uk/article/1743111/only-11-top-roles-ftse-100-held-ethnic-minority-leaders-research-finds
6/10/2023 14:24:31	‘Postcode privilege’: Australia edges towards UK and US levels of inequality	Mainstreet co-founder Lindsay McMillan said disparities based on where people lived became increasingly evident during the COVID-19 crisis.  “Extended periods of time stuck at home has made people in lower-socio economic areas feel they had less access to parkland and open space,” he said.  Residents in Fairfield said they were treated unfairly after the state government imposed a harsher lockdown across western Sydney during the COVID-19 crisis – an opinion shared with David Borger, executive director of Business Western Sydney.	https://www.smh.com.au/national/postcode-privilege-australia-edges-towards-uk-and-us-levels-of-inequality-20211208-p59fpy.html
6/10/2023 14:25:10	NHS 'riddled with racism' against ethnic minority doctors	At least 75% of ethnic minority doctors experienced racism more than once in the last two years, while 17.4% said they regularly faced racism at work, the survey said.  NHS England said it takes a "zero-tolerance approach" to racism.  Racism affects patients as well as doctors' wellbeing, by stopping talented people from progressing fairly and affecting doctors' mental health, Dr Nagpaul warned.	https://www.bbc.com/news/uk-60208523
6/10/2023 14:25:52	UK's white female academics are being privileged above women – and men – of colour	About 23.9% of professors are white women; only 2.1% are black and Asian minority ethnic women. There are 40 female vice-chancellors, and only one is black. This precedence of gender over race has resulted in a hierarchy of oppression in which white women’s experiences are privileged above that of women – and men – of colour.	https://www.theguardian.com/education/2020/jul/28/uks-white-female-academics-are-being-privileged-above-women-and-men-of-colour
6/10/2023 14:26:10	Women’s private pensions worth 35% less than men’s in Great Britain		https://amp.theguardian.com/business/2023/jun/05/womens-private-pensions-gap-worth-less-than-mens-great-britain
6/10/2023 14:26:25	Latina Women Earn Less Than White, Black, and Native Women—Here's How We Can Close the Pay Gap		https://www.realsimple.com/work-life/money/latina-women-pay-gap
6/10/2023 15:00:38		#OTD in 1838, twelve heavily armed colonists rounded up and brutally killed 28 Aboriginal people gathered at Henry Dangar's Station, at Myall Creek. Most of those murdered were women and children. This tragic crime is known as the Myall Creek Massacre.	https://www.linkedin.com/posts/indigenousx_otd-activity-7073071531869827072-cpA5
	RickAndRollBaby	I don’t wanna talk about the details of how I was arrested, due to legal reasons. But I feel it’s important to share the fascism I experienced, and the racism I witnessed, at the hands of CPD last night. A thread.	https://twitter.com/i/web/status/1284636567076831232
			
	ariivory	Here's a look into the @WNBA courts! Black lives matter is not a just a trend and cannot be minimized to a movement. Especially in a league that's 80 percent Black, it's literally life. Our lives matter. Their lives matter. Black lives matter. Yesterday, today, tomorrow, forever. https://t.co/hTXv7f7m6h	https://twitter.com/i/web/status/1287017258309439488
			
	IndigenousX	I do question the use of the phrase casual racism. What is casual about it? For whom is it casual? Definitely not for those on the receiving end I can attest to that from my own experiences	https://twitter.com/i/web/status/1286905511342874624
	IndigenousX	“For Indigenous children, who make up about 50 per cent of the centre's cohort at any one time, disconnection from culture loomed large. The report noted a lack of Aboriginal staff, connection to elders and a culture of casual racism among some staff.”	https://twitter.com/i/web/status/1286905509484703745
			
			
	BreeNewsome	If other people asserting their humanity is an affront to your sense of self or your civilization then neither of these are stable enough to stand on their own nor should they stand. 🤷🏾‍♀️	https://twitter.com/i/web/status/1287146819567460362
			
			
			
	PhotosByCooper	I can't get over this  She's wearing a Don't Tread on Me Patch while carrying guns to support state suppression of a protest  These groups don't oppose a tyrannical government. They support it as long the tyranny is aimed at Black people https://t.co/jdXn1YV6aG	https://twitter.com/i/web/status/1287139512368410624
	BreeNewsome	Status quo has always been built on a system of organized plunder while pretending there’s an inherent superiority in whiteness. Cultural shift happening now upsets them so b/c they’ve been able to freely engage in false histories &amp; pseudosciences for so long thru use of force https://t.co/4LU6qky1z3	https://twitter.com/i/web/status/1287134571742601217
	StorerDylan	What a joke. Rich, white, private school boys snort coke in front of cops and the magistrate jokes with them "haven't you heard of a bathroom?" and lets them off. Try tell me there is no injustice in our justice system.  https://t.co/ehkTA1zI3e	https://twitter.com/i/web/status/1280298832513785856
			
			
	EdwardGLuce	"Since the Holocaust, anti-Semitism has been the west’s largest taboo. Today it is creeping back. Its return is most remarkable in the US and Britain. Everyone should take note. When the strongest taboo cracks, lesser ones may crumble." My column: https://t.co/xfUDnWYc0j	https://twitter.com/i/web/status/976458070577631232
	DeSouzaRN	Two key findings. Institutionalized racism causes health inequities, but is rarely named in the public health literature. More public health research is needed on institutionalized racism to overcome its substantial, longstanding effects on health and well-being. https://t.co/hkaP2BEgwV	https://twitter.com/i/web/status/982065359057383424
	BerniceKing	Many who tweeted about my father today would have hated him 50 years ago. He was for the eradication of poverty and caring for poor people. No human was an alien to him because he believed this is a World House. And he asserted that inequality in healthcare is most inhumane. #MLK https://t.co/9zvrAtr35u	https://twitter.com/i/web/status/981691380962615296
	samswey	Think how racist America’s healthcare system must be to treat black people worse now relative to white people than it did during slavery. https://t.co/r1EFLV6wg7	https://twitter.com/i/web/status/984671932690788352
